TR_S05_PTO_STO(100)_600c_200mT_1000sh_2hz_2theta omega_04092026	
2θ, °	Intensity, cps
15	14.0068759918213
15.0047998428345	14.7405233383179
15.0095996856689	0
15.0143995285034	14.5004110336304
15.0192003250122	0
15.0240001678467	15.2807531356812
15.0288000106812	0
15.0335998535156	0
15.0383996963501	0
15.0431995391846	14.8858556747437
15.0480003356934	0
15.0528001785278	0
15.0576000213623	15.0562391281128
15.0623998641968	0
15.0671997070313	14.4422798156738
15.0719995498657	0
15.0768003463745	0
15.081600189209	0
15.0864000320435	0
15.0911998748779	0
15.0959997177124	0
15.1007995605469	0
15.1056003570557	0
15.1104001998901	14.6054878234863
15.1152000427246	0
15.1199998855591	0
15.1247997283936	0
15.129599571228	0
15.1344003677368	0
15.1392002105713	0
15.1440000534058	0
15.1487998962402	0
15.1535997390747	0
15.1583995819092	28.7706031799316
15.163200378418	0
15.1680002212524	0
15.1728000640869	0
15.1775999069214	0
15.1823997497559	14.6050987243652
15.1871995925903	0
15.1920003890991	0
15.1968002319336	0
15.2016000747681	0
15.2063999176025	29.5674438476563
15.211199760437	0
15.2159996032715	4.80314922332764
15.2208003997803	0
15.2256002426147	0
15.2304000854492	14.8825597763062
15.2351999282837	0
15.2399997711182	0
15.2447996139526	0
15.2496004104614	0
15.2544002532959	14.3376321792603
15.2592000961304	14.7768325805664
15.2639999389648	0
15.2687997817993	14.2555389404297
15.2735996246338	0
15.2784004211426	0
15.2832002639771	0
15.2880001068115	0
15.292799949646	0
15.2975997924805	14.4401178359985
15.3023996353149	14.2231330871582
15.3072004318237	0
15.3120002746582	0
15.3168001174927	0
15.3215999603271	0
15.3263998031616	34.2280235290527
15.3311996459961	0
15.3360004425049	0
15.3408002853394	0
15.3456001281738	0
15.3503999710083	0
15.3551998138428	19.7521686553955
15.3599996566772	0
15.364800453186	0
15.3696002960205	0
15.374400138855	0
15.3791999816895	0
15.3839998245239	0
15.3887996673584	14.0798320770264
15.3936004638672	0
15.3984003067017	0
15.4032001495361	0
15.4079999923706	0
15.4127998352051	18.4306983947754
15.4175996780396	0
15.4224004745483	20.1136379241943
15.4272003173828	0
15.4320001602173	0
15.4368000030518	0
15.4415998458862	0
15.4463996887207	14.2667045593262
15.4511995315552	0
15.456000328064	0
15.4608001708984	0
15.4656000137329	0
15.4703998565674	0
15.4751996994019	0
15.4799995422363	0
15.4848003387451	29.3987064361572
15.4896001815796	0
15.4944000244141	14.9120178222656
15.4991998672485	0
15.503999710083	0
15.5087995529175	0
15.5136003494263	14.4682083129883
15.5184001922607	0
15.5232000350952	0
15.5279998779297	14.7624559402466
15.5327997207642	0
15.5375995635986	28.5520458221436
15.5424003601074	0
15.5472002029419	0
15.5520000457764	0
15.5567998886108	0
15.5615997314453	14.377251625061
15.5663995742798	0
15.5712003707886	0
15.576000213623	0
15.5808000564575	14.14719581604
15.585599899292	0
15.5903997421265	0
15.5951995849609	0
15.6000003814697	0
15.6048002243042	0
15.6096000671387	0
15.6143999099731	0
15.6191997528076	14.5408143997192
15.6239995956421	0
15.6288003921509	0
15.6336002349854	14.1373472213745
15.6384000778198	0
15.6431999206543	0
15.6479997634888	28.9940776824951
15.6527996063232	4.75339269638062
