TR_S05_PTO_STO(100)_600c_200mT_1000sh_2hz_film RC_04092026	
2θ, °	Intensity, cps
18	0
18.0049991607666	13.7028980255127
18.0100002288818	0
18.0149993896484	0
18.0200004577637	13.5242509841919
18.0249996185303	0
18.0300006866455	13.6665172576904
18.0349998474121	0
18.0400009155273	13.8331336975098
18.0450000762939	13.7705059051514
18.0499992370605	0
18.0550003051758	0
18.0599994659424	27.5484943389893
18.0650005340576	27.6837100982666
18.0699996948242	0
18.0750007629395	0
18.0799999237061	0
18.0849990844727	0
18.0900001525879	0
18.0949993133545	14.0997476577759
18.1000003814697	0
18.1049995422363	0
18.1100006103516	0
18.1149997711182	13.7528247833252
18.1200008392334	0
18.125	0
18.1299991607666	0
18.1350002288818	0
18.1399993896484	0
18.1450004577637	14.1080408096313
18.1499996185303	0
18.1550006866455	0
18.1599998474121	13.5220413208008
18.1650009155273	0
18.1700000762939	0
18.1749992370605	0
18.1800003051758	0
18.1849994659424	0
18.1900005340576	0
18.1949996948242	0
18.2000007629395	0
18.2049999237061	14.0654249191284
18.2099990844727	13.4777336120605
18.2150001525879	0
18.2199993133545	0
18.2250003814697	0
18.2299995422363	0
18.2350006103516	0
18.2399997711182	0
18.2450008392334	0
18.25	0
18.2549991607666	0
18.2600002288818	0
18.2649993896484	14.0015392303467
18.2700004577637	0
18.2749996185303	0
18.2800006866455	27.4450531005859
18.2849998474121	0
18.2900009155273	0
18.2950000762939	0
18.2999992370605	0
18.3050003051758	0
18.3099994659424	0
18.3150005340576	14.281270980835
18.3199996948242	14.9247121810913
18.3250007629395	14.0433149337769
18.3299999237061	0
18.3349990844727	0
18.3400001525879	13.9910488128662
18.3449993133545	0
18.3500003814697	14.0070600509644
18.3549995422363	14.4532346725464
18.3600006103516	0
18.3649997711182	0
18.3700008392334	0
18.375	0
18.3799991607666	0
18.3850002288818	0
18.3899993896484	0
18.3950004577637	14.4500894546509
18.3999996185303	13.9984683990479
18.4050006866455	0
18.4099998474121	0
18.4150009155273	0
18.4200000762939	0
18.4249992370605	0
18.4300003051758	0
18.4349994659424	13.8218908309937
18.4400005340576	14.6440601348877
18.4449996948242	0
18.4500007629395	13.7688903808594
18.4549999237061	0
18.4599990844727	0
18.4650001525879	0
18.4699993133545	28.3198585510254
18.4750003814697	13.8455438613892
18.4799995422363	0
18.4850006103516	0
18.4899997711182	0
18.4950008392334	4.47368431091309
18.5	0
18.5049991607666	0
18.5100002288818	0
18.5149993896484	0
18.5200004577637	27.3868026733398
18.5249996185303	14.0307216644287
18.5300006866455	0
18.5349998474121	0
18.5400009155273	14.2865724563599
18.5450000762939	14.2592163085938
18.5499992370605	27.4520053863525
18.5550003051758	0
18.5599994659424	4.59471845626831
18.5650005340576	0
18.5699996948242	0
18.5750007629395	0
18.5799999237061	0
18.5849990844727	13.7701873779297
18.5900001525879	14.1119909286499
18.5949993133545	0
18.6000003814697	0
18.6049995422363	13.5827655792236
18.6100006103516	0
18.6149997711182	14.400408744812
18.6200008392334	0
18.625	0
18.6299991607666	0
