TR_S06_PTO_LAO(100)_600c_200mT_1000sh_2hz_2 theta omega_04082026{1}	
2θ, °	Intensity, cps
20	21.3041591644287
20.0100002288818	0
20.0200004577637	0
20.0300006866455	21.4470252990723
20.0400009155273	0
20.0499992370605	0
20.0599994659424	21.6125469207764
20.0699996948242	0
20.0799999237061	0
20.0900001525879	21.2643051147461
20.1000003814697	0
20.1100006103516	0
20.1200008392334	7.14578342437744
20.1299991607666	20.9659461975098
20.1399993896484	0
20.1499996185303	20.9616947174072
20.1599998474121	0
20.1700000762939	0
20.1800003051758	0
20.1900005340576	0
20.2000007629395	0
20.2099990844727	21.8118457794189
20.2199993133545	0
20.2299995422363	0
20.2399997711182	0
20.25	0
20.2600002288818	0
20.2700004577637	0
20.2800006866455	21.8903732299805
20.2900009155273	0
20.2999992370605	50.6288833618164
20.3099994659424	0
20.3199996948242	0
20.3299999237061	0
20.3400001525879	21.68674659729
20.3500003814697	0
20.3600006103516	0
20.3700008392334	21.350154876709
20.3799991607666	22.1925773620605
20.3899993896484	22.3201427459717
20.3999996185303	20.8265113830566
20.4099998474121	21.3211479187012
20.4200000762939	22.1022968292236
20.4300003051758	21.7559814453125
20.4400005340576	0
20.4500007629395	0
20.4599990844727	0
20.4699993133545	0
20.4799995422363	0
20.4899997711182	0
20.5	0
20.5100002288818	0
20.5200004577637	21.092565536499
20.5300006866455	21.8194408416748
20.5400009155273	0
20.5499992370605	22.0516605377197
20.5599994659424	0
20.5699996948242	43.1326370239258
20.5799999237061	20.8682746887207
20.5900001525879	0
20.6000003814697	6.9003324508667
20.6100006103516	0
20.6200008392334	0
20.6299991607666	0
20.6399993896484	0
20.6499996185303	0
20.6599998474121	0
20.6700000762939	0
20.6800003051758	20.9073162078857
20.6900005340576	0
20.7000007629395	21.7905731201172
20.7099990844727	0
20.7199993133545	0
20.7299995422363	22.0462856292725
20.7399997711182	0
20.75	21.1232929229736
20.7600002288818	41.7648429870605
20.7700004577637	6.87941408157349
20.7800006866455	0
20.7900009155273	0
20.7999992370605	0
20.8099994659424	28.278881072998
20.8199996948242	21.2912693023682
20.8299999237061	20.8458232879639
20.8400001525879	21.1136054992676
20.8500003814697	0
20.8600006103516	21.2454586029053
20.8700008392334	0
20.8799991607666	22.1239337921143
20.8899993896484	0
20.8999996185303	83.6545639038086
20.9099998474121	0
20.9200000762939	0
20.9300003051758	20.9615516662598
20.9400005340576	64.2405624389648
20.9500007629395	20.9473781585693
20.9599990844727	0
20.9699993133545	21.5545120239258
20.9799995422363	0
20.9899997711182	0
21	21.8862991333008
21.0100002288818	42.8652534484863
21.0200004577637	0
21.0300006866455	20.6474304199219
21.0400009155273	0
21.0499992370605	0
21.0599994659424	22.1450347900391
21.0699996948242	0
21.0799999237061	20.9073162078857
21.0900001525879	42.0785140991211
21.1000003814697	64.2621917724609
21.1100006103516	0
21.1200008392334	0
21.1299991607666	0
21.1399993896484	22.3201427459717
21.1499996185303	20.9304161071777
21.1599998474121	0
21.1700000762939	20.7287616729736
21.1800003051758	21.4646511077881
21.1900005340576	41.9696464538574
21.2000007629395	42.7118072509766
21.2099990844727	0
21.2199993133545	21.6039485931396
21.2299995422363	0
21.2399997711182	20.8166561126709
21.25	21.2107944488525
21.2600002288818	21.1107997894287
21.2700004577637	20.7528095245361
21.2800006866455	6.77166318893433
21.2900009155273	21.1998920440674
21.2999992370605	64.8173675537109
21.3099994659424	21.8301563262939
21.3199996948242	21.8544788360596
21.3299999237061	20.94895362854
21.3400001525879	13.6009731292725
21.3500003814697	0
21.3600006103516	0
21.3700008392334	0
21.3799991607666	20.9062232971191
21.3899993896484	0
21.3999996185303	64.442626953125
21.4099998474121	21.900520324707
21.4200000762939	20.6935997009277
21.4300003051758	21.5197849273682
21.4400005340576	21.6091613769531
21.4500007629395	0
21.4599990844727	50.8250465393066
21.4699993133545	0
21.4799995422363	29.5886974334717
21.4899997711182	22.0760631561279
21.5	20.9033966064453
21.5100002288818	20.2781867980957
21.5200004577637	0
21.5300006866455	20.8179779052734
21.5400009155273	0
21.5499992370605	21.0540561676025
21.5599994659424	63.4535789489746
21.5699996948242	43.7360343933105
21.5799999237061	0
21.5900001525879	21.1642055511475
21.6000003814697	44.4730644226074
21.6100006103516	21.5466690063477
21.6200008392334	107.732887268066
21.6299991607666	6.95361423492432
21.6399993896484	0
21.6499996185303	0
21.6599998474121	63.8917045593262
21.6700000762939	21.5001850128174
21.6800003051758	0
21.6900005340576	0
21.7000007629395	0
21.7099990844727	0
21.7199993133545	20.7187080383301
21.7299995422363	42.5361595153809
21.7399997711182	63.4719619750977
21.75	43.6341361999512
21.7600002288818	21.0988025665283
21.7700004577637	42.7359771728516
21.7800006866455	21.3041591644287
21.7900009155273	0
21.7999992370605	0
21.8099994659424	0
21.8199996948242	7.1566333770752
21.8299999237061	22.4668197631836
21.8400001525879	21.298755645752
21.8500003814697	43.5035018920898
21.8600006103516	63.9673805236816
21.8700008392334	22.3556137084961
21.8799991607666	21.7608299255371
21.8899993896484	0
21.8999996185303	44.4863739013672
21.9099998474121	43.5527801513672
21.9200000762939	21.1579704284668
21.9300003051758	43.5142135620117
21.9400005340576	21.4496212005615
21.9500007629395	43.8012542724609
21.9599990844727	0
21.9699993133545	21.9252166748047
21.9799995422363	21.8887844085693
21.9899997711182	20.6006317138672
22	21.0068054199219
22.0100002288818	20.9304161071777
22.0200004577637	43.7146224975586
22.0300006866455	42.8887405395508
22.0400009155273	42.557804107666
22.0499992370605	48.8719749450684
22.0599994659424	21.1486568450928
22.0699996948242	43.3748931884766
22.0799999237061	42.5698928833008
22.0900001525879	22.0299186706543
22.1000003814697	41.4687194824219
22.1100006103516	108.149673461914
22.1200008392334	41.5942573547363
22.1299991607666	21.6005630493164
22.1399993896484	22.7243537902832
22.1499996185303	127.595489501953
22.1599998474121	0
22.1700000762939	41.4413223266602
22.1800003051758	42.5215759277344
22.1900005340576	20.9769229888916
22.2000007629395	43.5817375183105
22.2099990844727	21.7051200866699
22.2199993133545	49.5568084716797
22.2299995422363	29.1147480010986
22.2399997711182	84.5540466308594
22.25	64.4180908203125
22.2600002288818	43.2313919067383
22.2700004577637	20.2781867980957
22.2800006866455	116.312301635742
22.2900009155273	21.5782852172852
22.2999992370605	21.520544052124
22.3099994659424	71.9787750244141
22.3199996948242	65.0317993164063
22.3299999237061	85.8306503295898
22.3400001525879	88.6115341186523
22.3500003814697	65.7051391601563
22.3600006103516	43.7333106994629
22.3700008392334	41.4472732543945
22.3799991607666	170.251281738281
22.3899993896484	51.719539642334
22.3999996185303	65.5642471313477
22.4099998474121	105.374404907227
22.4200000762939	64.5790634155273
22.4300003051758	108.274963378906
22.4400005340576	64.9199676513672
22.4500007629395	6.962317943573
22.4599990844727	21.3170967102051
22.4699993133545	65.8611602783203
22.4799995422363	20.9451217651367
22.4899997711182	65.0221710205078
22.5	21.1784763336182
22.5100002288818	0
22.5200004577637	128.21630859375
22.5300006866455	107.312805175781
22.5400009155273	105.363502502441
22.5499992370605	0
22.5599994659424	0
22.5699996948242	70.0864868164063
22.5799999237061	86.2003402709961
22.5900001525879	171.244705200195
22.6000003814697	64.5371170043945
22.6100006103516	42.6919937133789
22.6200008392334	106.896057128906
22.6299991607666	85.3535537719727
22.6399993896484	64.7855606079102
22.6499996185303	190.477966308594
22.6599998474121	120.274436950684
22.6700000762939	85.5767135620117
22.6800003051758	104.933013916016
22.6900005340576	85.8814392089844
22.7000007629395	50.8758163452148
22.7099990844727	64.288932800293
22.7199993133545	63.2317771911621
22.7299995422363	0
22.7399997711182	63.6210670471191
22.75	70.3864517211914
22.7600002288818	64.5026550292969
22.7700004577637	84.9118194580078
22.7800006866455	178.38996887207
22.7900009155273	84.8798980712891
22.7999992370605	130.692993164063
22.8099994659424	43.8823661804199
22.8199996948242	106.892936706543
22.8299999237061	157.692901611328
22.8400001525879	106.191032409668
22.8500003814697	156.373519897461
22.8600006103516	42.7673110961914
22.8700008392334	191.93620300293
22.8799991607666	22.3094463348389
22.8899993896484	174.862197875977
22.8999996185303	115.571166992188
22.9099998474121	178.40266418457
22.9200000762939	150.701141357422
22.9300003051758	243.291625976563
22.9400005340576	114.725151062012
22.9500007629395	149.50895690918
22.9599990844727	190.793899536133
22.9699993133545	243.562362670898
22.9799995422363	93.944450378418
22.9899997711182	193.693450927734
23	172.588272094727
23.0100002288818	149.617172241211
23.0200004577637	235.706115722656
23.0300006866455	216.418472290039
23.0400009155273	324.240844726563
23.0499992370605	156.156784057617
23.0599994659424	107.782493591309
23.0699996948242	243.531631469727
23.0799999237061	170.066909790039
23.0900001525879	321.418914794922
23.1000003814697	170.729446411133
23.1100006103516	214.720169067383
23.1200008392334	214.14208984375
23.1299991607666	257.954681396484
23.1399993896484	307.565551757813
23.1499996185303	214.781936645508
23.1599998474121	241.195922851563
23.1700000762939	353.130065917969
23.1800003051758	250.267944335938
23.1900005340576	422.250183105469
23.2000007629395	260.289794921875
23.2099990844727	297.038391113281
23.2199993133545	351.716003417969
23.2299995422363	279.665161132813
23.2399997711182	458.895843505859
23.25	374.276458740234
23.2600002288818	258.909454345703
23.2700004577637	302.879241943359
23.2800006866455	453.605407714844
23.2900009155273	518.39404296875
23.2999992370605	452.101470947266
23.3099994659424	484.605682373047
23.3199996948242	499.387390136719
23.3299999237061	628.188293457031
23.3400001525879	513.946105957031
23.3500003814697	802.476257324219
23.3600006103516	647.642761230469
23.3700008392334	837.731811523438
23.3799991607666	884.781311035156
23.3899993896484	905.031616210938
23.3999996185303	839.731567382813
23.4099998474121	931.419372558594
23.4200000762939	847.877807617188
23.4300003051758	1062.1494140625
23.4400005340576	1063.25720214844
23.4500007629395	1297.7919921875
23.4599990844727	1358.95568847656
23.4699993133545	1530.58935546875
23.4799995422363	1939.01232910156
23.4899997711182	2116.46240234375
23.5	2651.42797851563
23.5100002288818	3199.36181640625
23.5200004577637	2976.89575195313
23.5300006866455	3095.390625
23.5400009155273	4436.7587890625
23.5499992370605	5639.548828125
23.5599994659424	6174.73583984375
23.5699996948242	10822.212890625
23.5799999237061	33475.0625
23.5900001525879	110428.40625
23.6000003814697	239250.171875
23.6100006103516	309718.71875
23.6200008392334	310228.09375
23.6299991607666	307189.5
23.6399993896484	367890.0625
23.6499996185303	439854.96875
23.6599998474121	498184.09375
23.6700000762939	588279.4375
23.6800003051758	652643
23.6900005340576	751624
23.7000007629395	867981.8125
23.7099990844727	917067
23.7199993133545	958609
23.7299995422363	952409.25
23.7399997711182	811413.625
23.75	680850.6875
23.7600002288818	587244.625
23.7700004577637	517662.46875
23.7800006866455	451681.6875
23.7900009155273	388496.84375
23.7999992370605	351136.3125
23.8099994659424	319554.75
23.8199996948242	278362.28125
23.8299999237061	231788.109375
23.8400001525879	187468.8125
23.8500003814697	160776.3125
23.8600006103516	134982.21875
23.8700008392334	113076.203125
23.8799991607666	91074.859375
23.8899993896484	85067.15625
23.8999996185303	91775.5078125
23.9099998474121	87781.1328125
23.9200000762939	86933.9765625
23.9300003051758	60080.31640625
23.9400005340576	41173.8671875
23.9500007629395	32296.509765625
23.9599990844727	13207.685546875
23.9699993133545	3912.00073242188
23.9799995422363	2739.03784179688
23.9899997711182	2129.57958984375
24	1986.27758789063
24.0100002288818	2118.44287109375
24.0200004577637	1726.74182128906
24.0300006866455	1324.59289550781
24.0400009155273	1071.1982421875
24.0499992370605	684.984680175781
24.0599994659424	886.93603515625
24.0699996948242	983.594360351563
24.0799999237061	734.065795898438
24.0900001525879	552.7197265625
24.1000003814697	359.533721923828
24.1100006103516	498.212432861328
24.1200008392334	455.707305908203
24.1299991607666	561.494201660156
24.1399993896484	630.66357421875
24.1499996185303	452.529479980469
24.1599998474121	350.304168701172
24.1700000762939	519.260192871094
24.1800003051758	377.850006103516
24.1900005340576	232.791137695313
24.2000007629395	352.077331542969
24.2099990844727	382.48974609375
24.2199993133545	428.769653320313
24.2299995422363	201.34977722168
24.2399997711182	308.497253417969
24.25	214.072174072266
24.2600002288818	246.970245361328
24.2700004577637	284.563903808594
24.2800006866455	313.605865478516
24.2900009155273	203.971252441406
24.2999992370605	203.702621459961
24.3099994659424	162.469650268555
24.3199996948242	398.469360351563
24.3299999237061	301.200347900391
24.3400001525879	129.211700439453
24.3500003814697	92.7000503540039
24.3600006103516	70.2488098144531
24.3700008392334	279.416687011719
24.3799991607666	106.760437011719
24.3899993896484	171.270446777344
24.3999996185303	106.353866577148
24.4099998474121	136.964828491211
24.4200000762939	114.358978271484
24.4300003051758	108.304718017578
24.4400005340576	150.948928833008
24.4500007629395	41.5005264282227
24.4599990844727	152.206100463867
24.4699993133545	84.80810546875
24.4799995422363	128.058975219727
24.4899997711182	77.5021667480469
24.5	172.164138793945
24.5100002288818	171.871612548828
24.5200004577637	83.3824234008789
24.5300006866455	128.200775146484
24.5400009155273	64.3128204345703
24.5499992370605	257.213256835938
24.5599994659424	93.6745452880859
24.5699996948242	93.2403717041016
24.5799999237061	42.2506675720215
24.5900001525879	20.8286018371582
24.6000003814697	85.2211074829102
24.6100006103516	83.7927932739258
24.6200008392334	65.3128128051758
24.6299991607666	85.2542953491211
24.6399993896484	129.05534362793
24.6499996185303	64.5823593139648
24.6599998474121	86.0446090698242
24.6700000762939	0
24.6800003051758	129.969345092773
24.6900005340576	21.3152389526367
24.7000007629395	42.5418319702148
24.7099990844727	0
24.7199993133545	42.722785949707
24.7299995422363	86.2903518676758
24.7399997711182	85.4734115600586
24.75	86.2928695678711
24.7600002288818	20.7156105041504
24.7700004577637	126.629295349121
24.7800006866455	42.2058334350586
24.7900009155273	105.982124328613
24.7999992370605	171.198059082031
24.8099994659424	41.5071182250977
24.8199996948242	71.2603607177734
24.8299999237061	63.3733062744141
24.8400001525879	20.9449272155762
24.8500003814697	107.224586486816
24.8600006103516	28.0424003601074
24.8700008392334	20.8783092498779
24.8799991607666	42.9214286804199
24.8899993896484	65.000244140625
24.8999996185303	20.8458232879639
24.9099998474121	129.501815795898
24.9200000762939	50.2605400085449
24.9300003051758	64.1632766723633
24.9400005340576	0
24.9500007629395	42.4315567016602
24.9599990844727	6.87941408157349
24.9699993133545	21.9565086364746
24.9799995422363	21.1469955444336
24.9899997711182	22.0830917358398
25	21.0397663116455
25.0100002288818	43.6310920715332
25.0200004577637	64.5780334472656
25.0300006866455	20.9433441162109
25.0400009155273	43.6356010437012
25.0499992370605	85.1003189086914
25.0599994659424	43.389102935791
25.0699996948242	21.4710502624512
25.0799999237061	41.7211875915527
25.0900001525879	84.0956344604492
25.1000003814697	43.5152244567871
25.1100006103516	49.6707229614258
25.1200008392334	28.2229919433594
25.1299991607666	51.0567474365234
25.1399993896484	65.0234985351563
25.1499996185303	64.7327499389648
25.1599998474121	41.5799980163574
25.1700000762939	44.2341957092285
25.1800003051758	22.2729225158691
25.1900005340576	22.080207824707
25.2000007629395	0
25.2099990844727	0
25.2199993133545	0
25.2299995422363	0
25.2399997711182	0
25.25	20.9797687530518
25.2600002288818	0
25.2700004577637	21.0946655273438
25.2800006866455	44.4652404785156
25.2900009155273	42.2184143066406
25.2999992370605	28.1571254730225
25.3099994659424	42.4152374267578
25.3199996948242	0
25.3299999237061	21.2178993225098
25.3400001525879	0
25.3500003814697	21.3085765838623
25.3600006103516	20.8259143829346
25.3700008392334	21.9371509552002
25.3799991607666	43.9082565307617
25.3899993896484	6.89145994186401
25.3999996185303	0
25.4099998474121	21.292839050293
25.4200000762939	64.4528121948242
25.4300003051758	20.9978218078613
25.4400005340576	43.3082313537598
25.4500007629395	7.07505941390991
25.4599990844727	0
25.4699993133545	43.5062637329102
25.4799995422363	65.032356262207
25.4899997711182	22.3460941314697
25.5	63.591480255127
25.5100002288818	21.4086017608643
25.5200004577637	0
25.5300006866455	7.19513607025146
25.5400009155273	21.4326190948486
25.5499992370605	0
25.5599994659424	20.9184722900391
25.5699996948242	6.92113351821899
25.5799999237061	20.6699771881104
25.5900001525879	21.5056324005127
25.6000003814697	48.379322052002
25.6100006103516	0
25.6200008392334	21.3683567047119
25.6299991607666	21.8709354400635
25.6399993896484	21.2389068603516
25.6499996185303	0
25.6599998474121	0
25.6700000762939	0
25.6800003051758	0
25.6900005340576	0
25.7000007629395	22.415246963501
25.7099990844727	0
25.7199993133545	21.4496212005615
25.7299995422363	0
25.7399997711182	0
25.75	0
25.7600002288818	0
25.7700004577637	0
25.7800006866455	0
25.7900009155273	0
25.7999992370605	20.4667282104492
25.8099994659424	6.86386299133301
25.8199996948242	21.035924911499
25.8299999237061	0
25.8400001525879	0
25.8500003814697	21.1387214660645
25.8600006103516	42.9217376708984
25.8700008392334	0
25.8799991607666	0
25.8899993896484	0
25.8999996185303	42.860294342041
25.9099998474121	0
25.9200000762939	42.937931060791
25.9300003051758	0
25.9400005340576	0
25.9500007629395	20.9590721130371
25.9599990844727	0
25.9699993133545	21.3380889892578
25.9799995422363	43.0391883850098
25.9899997711182	20.4917182922363
26	0
26.0100002288818	28.2437229156494
26.0200004577637	35.1647987365723
26.0300006866455	0
26.0400009155273	0
26.0499992370605	0
26.0599994659424	0
26.0699996948242	21.1784763336182
26.0799999237061	0
26.0900001525879	21.9907569885254
26.1000003814697	0
26.1100006103516	0
26.1200008392334	48.9322128295898
26.1299991607666	0
26.1399993896484	21.7111339569092
26.1499996185303	21.8490409851074
26.1599998474121	0
26.1700000762939	21.5956325531006
26.1800003051758	0
26.1900005340576	21.6077919006348
26.2000007629395	0
26.2099990844727	0
26.2199993133545	0
26.2299995422363	0
26.2399997711182	0
26.25	0
26.2600002288818	22.2969150543213
26.2700004577637	21.3170967102051
26.2800006866455	0
26.2900009155273	29.1678466796875
26.2999992370605	0
26.3099994659424	0
26.3199996948242	0
26.3299999237061	0
26.3400001525879	0
26.3500003814697	0
26.3600006103516	0
26.3700008392334	21.5030307769775
26.3799991607666	0
26.3899993896484	0
26.3999996185303	0
26.4099998474121	0
26.4200000762939	0
26.4300003051758	0
26.4400005340576	0
26.4500007629395	0
26.4599990844727	0
26.4699993133545	0
26.4799995422363	20.9646778106689
26.4899997711182	0
26.5	0
26.5100002288818	0
26.5200004577637	0
26.5300006866455	0
26.5400009155273	0
26.5499992370605	0
26.5599994659424	0
26.5699996948242	21.1579704284668
26.5799999237061	0
26.5900001525879	28.2020168304443
26.6000003814697	0
26.6100006103516	20.8623027801514
26.6200008392334	0
26.6299991607666	21.7552642822266
26.6399993896484	0
26.6499996185303	0
26.6599998474121	44.2953681945801
26.6700000762939	21.4646511077881
26.6800003051758	0
26.6900005340576	20.8153343200684
26.7000007629395	0
26.7099990844727	0
26.7199993133545	0
26.7299995422363	0
26.7399997711182	0
26.75	0
26.7600002288818	0
26.7700004577637	0
26.7800006866455	20.8090972900391
26.7900009155273	0
26.7999992370605	21.4758968353271
26.8099994659424	0
26.8199996948242	0
26.8299999237061	21.6453666687012
26.8400001525879	22.1085147857666
26.8500003814697	7.08340406417847
26.8600006103516	0
26.8700008392334	0
26.8799991607666	21.4417476654053
26.8899993896484	0
26.8999996185303	0
26.9099998474121	20.6822872161865
26.9200000762939	0
26.9300003051758	0
26.9400005340576	0
26.9500007629395	0
26.9599990844727	0
26.9699993133545	0
26.9799995422363	0
26.9899997711182	0
27	0
27.0100002288818	0
27.0200004577637	21.2543201446533
27.0300006866455	0
27.0400009155273	42.9495811462402
27.0499992370605	0
27.0599994659424	21.7942333221436
27.0699996948242	21.0291385650635
27.0799999237061	0
27.0900001525879	0
27.1000003814697	0
27.1100006103516	20.9797687530518
27.1200008392334	0
27.1299991607666	0
27.1399993896484	0
27.1499996185303	0
27.1599998474121	20.9449272155762
27.1700000762939	0
27.1800003051758	0
27.1900005340576	0
27.2000007629395	0
27.2099990844727	0
27.2199993133545	0
27.2299995422363	0
27.2399997711182	0
27.25	0
27.2600002288818	0
27.2700004577637	0
27.2800006866455	0
27.2900009155273	0
27.2999992370605	0
27.3099994659424	0
27.3199996948242	0
27.3299999237061	0
27.3400001525879	0
27.3500003814697	0
27.3600006103516	0
27.3700008392334	0
27.3799991607666	0
27.3899993896484	0
27.3999996185303	20.7998466491699
27.4099998474121	0
27.4200000762939	0
27.4300003051758	0
27.4400005340576	0
27.4500007629395	0
27.4599990844727	0
27.4699993133545	0
27.4799995422363	0
27.4899997711182	0
27.5	0
27.5100002288818	0
27.5200004577637	0
27.5300006866455	0
27.5400009155273	0
27.5499992370605	0
27.5599994659424	22.2969150543213
