TR_S07_PTO_STO(100)_600c_variable pressure_2000sh_3hz_2theta omega_04102026{1}	
2θ, °	Intensity, cps
15	0
15.0047998428345	0
15.0095996856689	0
15.0143995285034	0
15.0192003250122	0
15.0240001678467	0
15.0288000106812	4.75391674041748
15.0335998535156	0
15.0383996963501	0
15.0431995391846	0
15.0480003356934	4.67257213592529
15.0528001785278	0
15.0576000213623	0
15.0623998641968	0
15.0671997070313	0
15.0719995498657	29.6136875152588
15.0768003463745	14.1116561889648
15.081600189209	0
15.0864000320435	0
15.0911998748779	14.6576509475708
15.0959997177124	14.7538280487061
15.1007995605469	0
15.1056003570557	0
15.1104001998901	14.1116561889648
15.1152000427246	0
15.1199998855591	0
15.1247997283936	0
15.129599571228	0
15.1344003677368	14.5385236740112
15.1392002105713	14.1199350357056
15.1440000534058	14.8858556747437
15.1487998962402	14.3626098632813
15.1535997390747	0
15.1583995819092	14.6464242935181
15.163200378418	0
15.1680002212524	4.75465440750122
15.1728000640869	0
15.1775999069214	0
15.1823997497559	0
15.1871995925903	0
15.1920003890991	0
15.1968002319336	0
15.2016000747681	14.4347763061523
15.2063999176025	0
15.211199760437	0
15.2159996032715	14.8259267807007
15.2208003997803	14.6472549438477
15.2256002426147	0
15.2304000854492	0
15.2351999282837	0
15.2399997711182	14.2336502075195
15.2447996139526	28.8757190704346
15.2496004104614	0
15.2544002532959	14.087944984436
15.2592000961304	0
15.2639999389648	0
15.2687997817993	0
15.2735996246338	14.2326021194458
15.2784004211426	0
15.2832002639771	19.3052616119385
15.2880001068115	0
15.292799949646	0
15.2975997924805	0
15.3023996353149	0
15.3072004318237	15.0749397277832
15.3120002746582	0
15.3168001174927	0
15.3215999603271	0
15.3263998031616	33.4507942199707
15.3311996459961	0
15.3360004425049	0
15.3408002853394	14.4320182800293
15.3456001281738	14.8272943496704
15.3503999710083	0
15.3551998138428	0
15.3599996566772	0
15.364800453186	0
15.3696002960205	0
15.374400138855	14.4942436218262
15.3791999816895	14.2612047195435
15.3839998245239	14.7146844863892
15.3887996673584	0
15.3936004638672	0
15.3984003067017	14.14719581604
15.4032001495361	0
15.4079999923706	0
15.4127998352051	14.8855848312378
15.4175996780396	0
15.4224004745483	0
15.4272003173828	0
15.4320001602173	0
15.4368000030518	0
15.4415998458862	0
15.4463996887207	14.313868522644
15.4511995315552	0
15.456000328064	0
15.4608001708984	0
15.4656000137329	0
