TR_S10_PTO_STO(100)_500c_150mT_20000sh_5hz_2theta omega_04162026{1}	
2θ, °	Intensity, cps
15	0
15.0047998428345	0
15.0095996856689	0
15.0143995285034	0
15.0192003250122	0
15.0240001678467	0
15.0288000106812	0
15.0335998535156	14.9370336532593
15.0383996963501	0
15.0431995391846	0
15.0480003356934	0
15.0528001785278	0
15.0576000213623	0
15.0623998641968	0
15.0671997070313	0
15.0719995498657	14.0072288513184
15.0768003463745	0
15.081600189209	0
15.0864000320435	0
15.0911998748779	0
15.0959997177124	0
15.1007995605469	0
15.1056003570557	0
15.1104001998901	0
15.1152000427246	28.1074714660645
15.1199998855591	14.2102212905884
15.1247997283936	0
15.129599571228	14.4209051132202
15.1344003677368	0
15.1392002105713	0
15.1440000534058	0
15.1487998962402	0
15.1535997390747	0
15.1583995819092	0
15.163200378418	0
15.1680002212524	42.4843444824219
15.1728000640869	0
15.1775999069214	0
15.1823997497559	0
15.1871995925903	0
15.1920003890991	0
15.1968002319336	14.7538280487061
15.2016000747681	0
15.2063999176025	0
15.211199760437	0
15.2159996032715	0
15.2208003997803	0
15.2256002426147	14.2718505859375
15.2304000854492	0
15.2351999282837	14.8502407073975
15.2399997711182	14.447319984436
15.2447996139526	0
15.2496004104614	14.6790723800659
15.2544002532959	14.9910182952881
15.2592000961304	14.5293426513672
15.2639999389648	14.7923860549927
15.2687997817993	0
15.2735996246338	0
15.2784004211426	14.4742097854614
15.2832002639771	4.66399955749512
15.2880001068115	14.0745258331299
15.292799949646	0
15.2975997924805	15.0384559631348
15.3023996353149	14.8801584243774
15.3072004318237	0
15.3120002746582	0
15.3168001174927	0
15.3215999603271	28.665714263916
15.3263998031616	14.5160055160522
15.3311996459961	0
15.3360004425049	14.8635339736938
15.3408002853394	0
15.3456001281738	34.5560493469238
15.3503999710083	0
15.3551998138428	0
15.3599996566772	0
15.364800453186	14.444953918457
15.3696002960205	0
15.374400138855	0
15.3791999816895	0
15.3839998245239	15.0857448577881
15.3887996673584	0
15.3936004638672	0
15.3984003067017	14.4248352050781
15.4032001495361	0
15.4079999923706	0
15.4127998352051	0
15.4175996780396	0
15.4224004745483	0
15.4272003173828	14.0798320770264
15.4320001602173	0
15.4368000030518	13.8823766708374
15.4415998458862	0
15.4463996887207	0
15.4511995315552	0
15.456000328064	14.7163305282593
15.4608001708984	28.0623111724854
15.4656000137329	29.3047523498535
