TR_S11_PTO_STO(100)_580c_150mT_20000sh_5hz_Film RC_04162026	
2θ, °	Intensity, cps
-0.94760000705719	84983.5390625
-0.917599976062775	93955.140625
-0.887600004673004	104953.78125
-0.857599973678589	115594.890625
-0.827600002288818	134967.78125
-0.797599971294403	158339.5625
-0.767599999904633	184878.953125
-0.737600028514862	230415.703125
-0.707599997520447	293044.5
-0.677600026130676	369818.46875
-0.647599995136261	453629.6875
-0.61760002374649	561802.1875
-0.587599992752075	658901.9375
-0.557600021362305	783267.25
-0.527599990367889	928821.25
-0.497599989175797	1051811.25
-0.467599987983704	1206691.375
-0.437599986791611	1353893.125
-0.407599985599518	1511547.875
-0.377600014209747	1678870.125
-0.347600013017654	1830175.375
-0.317600011825562	1992645.5
-0.287600010633469	2143331.25
-0.257600009441376	2314064.5
-0.227599993348122	2485582.75
-0.19760000705719	2646940.75
-0.167600005865097	2774483
-0.137600004673004	2968248
-0.107600003480911	3082920.5
-0.0776000022888184	3247850.25
-0.0476000010967255	3355459.75
-0.0175999999046326	3468468
0.0124000003561378	3523931.75
0.0423999987542629	3527265.5
0.0724000036716461	3538541.5
0.102399997413158	3502895.5
0.132400006055832	3449760.5
0.162400007247925	3478340
0.192399993538857	3444095
0.222399994730949	3441505.25
0.252400010824203	3425746.5
0.282400012016296	3372215.25
0.312400013208389	3414360.5
0.342400014400482	3362361.5
0.372399985790253	3316611.5
0.402399986982346	3292217.5
0.432399988174438	3251531.25
0.462399989366531	3250951.75
0.492399990558624	3203386.25
0.52240002155304	3187551
0.55239999294281	3184570
0.582400023937225	3156733
0.612399995326996	3150516.25
0.642400026321411	3138639.75
0.672399997711182	3092160.5
0.702400028705597	3075159.75
0.732400000095367	3060471.75
0.762399971485138	3045401.25
0.792400002479553	3006116.25
0.822399973869324	2971378.25
0.852400004863739	2953720
0.88239997625351	2906503.25
0.912400007247925	2901683.25
0.942399978637695	2871990.5
0.972400009632111	2859004.25
1.00240004062653	2841943
1.0324000120163	2828928.75
