TR_S11_PTO_STO(100)_580c_150mT_20000sh_5hz_Sub RC_04162026	
2θ, °	Intensity, cps
-0.960500001907349	79096.9765625
-0.930499970912933	84701.7421875
-0.900499999523163	93364.96875
-0.870500028133392	102680.90625
-0.840499997138977	118139.6953125
-0.810500025749207	135007.3125
-0.780499994754791	158072.203125
-0.750500023365021	189918.984375
-0.720499992370605	232232.40625
-0.690500020980835	294147.40625
-0.66049998998642	372866.34375
-0.630500018596649	453767.8125
-0.600499987602234	554283.5625
-0.570500016212463	673409.0625
-0.540499985218048	792513.625
-0.510500013828278	923682.375
-0.480500012636185	1069471.5
-0.450500011444092	1207973.5
-0.420500010251999	1355975.5
-0.390500009059906	1511576.625
-0.360500007867813	1663782.25
-0.33050000667572	1820053.5
-0.300500005483627	1986846.625
-0.270500004291534	2132781.5
-0.240500003099442	2305554.25
-0.210500001907349	2457368
-0.180500000715256	2602435
-0.150499999523163	2798425.75
-0.12049999833107	2918943
-0.0904999971389771	3055067
-0.0604999996721745	3220007.75
-0.0305000003427267	3304481.5
-0.000500000023748726	3384949.75
0.0295000001788139	3451851
0.0595000013709068	3410701
0.0895000025629997	3417372
0.119499996304512	3356757.75
0.149499997496605	3346540
0.179499998688698	3365558.75
0.209499999880791	3308832.5
0.239500001072884	3327623
0.269499987363815	3285170.25
0.299499988555908	3261703.75
0.329499989748001	3285239.25
0.359499990940094	3234020.25
0.389499992132187	3200548.5
0.41949999332428	3151580.5
0.449499994516373	3126781.5
0.479499995708466	3109460.25
0.509500026702881	3078646
0.539499998092651	3085264
0.569500029087067	3064750.5
0.599500000476837	3038775.5
0.629499971866608	3035955
0.659500002861023	3008568.25
0.689499974250793	2994175
0.719500005245209	2955042.25
0.749499976634979	2947334.75
0.779500007629395	2914047.75
0.809499979019165	2847900
0.83950001001358	2855371.5
0.869499981403351	2834884.75
0.899500012397766	2765300.25
0.929499983787537	2803863.25
0.959500014781952	2781739.5
0.989499986171722	2739980.5
1.01950001716614	2757311.5
